AC No,Year,Rank,Candidate,Party,Alliance,Votes,Valid Votes,Electors,Voteshare,Margin
32,2020,6,LALAN KISHOR JHA,IND,Other,2299,155770,299650,1.4759,-76563
32,2020,7,VINODANAND KAMAT,IND,Other,2128,155770,299650,1.3661,-76734
32,2020,8,NAGENDRA PRASAD YADAV,BSP,GDSF,1857,155770,299650,1.1921,-77005
32,2020,9,ANURADHA SINGH,TPLRSP,Other,1841,155770,299650,1.1819,-77021
32,2020,10,NOTA,NOTA,Other,1648,155770,299650,1.0580,-77214
32,2020,11,RUPESH KUMAR,IND,Other,910,155770,299650,0.5842,-77952
32,2020,12,ABUBAKAR RAHMANI,IND,Other,752,155770,299650,0.4828,-78110
32,2020,13,NUTAN DEVI,RPPRINAT,Other,606,155770,299650,0.3890,-78256
32,2020,14,CHANDAN KUMAR,IND,Other,569,155770,299650,0.3653,-78293
32,2020,15,MITHILESH CHANDRA JHA,IND,Other,557,155770,299650,0.3576,-78305
32,2020,16,AMAR NATH,IND,Other,522,155770,299650,0.3351,-78340
33,2020,1,ARUN SHANKAR PRASAD,BJP,NDA,83161,186837,305735,44.5099,22689
33,2020,2,SITARAM YADAV,RJD,MGB,60472,186837,305735,32.3662,-22689
33,2020,3,BRAJ KISHOR YADAV,JAPL,Other,13589,186837,305735,7.2732,-69572
33,2020,4,AMBIKA PD SINGH,IND,Other,8355,186837,305735,4.4718,-74806
33,2020,5,DILIP KUWAR,IND,Other,3689,186837,305735,1.9744,-79472
33,2020,6,VIRENDRA KUMAR YADAV,SJDD,GDSF,2782,186837,305735,1.4890,-80379
33,2020,7,AMIT KUMAR MAHTO,IND,Other,2174,186837,305735,1.1636,-80987
33,2020,8,RAM SUFAL YADAV,JMVP,Other,1491,186837,305735,0.7980,-81670
33,2020,9,SYED HASSANUL HAQUE,ASPKR,Other,1298,186837,305735,0.6947,-81863
33,2020,10,NOTA,NOTA,Other,1193,186837,305735,0.6385,-81968
33,2020,11,NARESH KUMAR SINGH,IND,Other,1188,186837,305735,0.6358,-81973
33,2020,12,HARI BHUSHAN KUMAR,LGJNPSCL,Other,1012,186837,305735,0.5416,-82149
33,2020,13,KUMAR CHAITANY,TPLRSP,Other,1004,186837,305735,0.5374,-82157
33,2020,14,BABLU GUPTA,RPPRINAT,Other,773,186837,305735,0.4137,-82388
33,2020,15,RITESH KUMAR MANDAL,PBLBRP,Other,759,186837,305735,0.4062,-82402
33,2020,16,DINESH PRASAD SINGH,JNSHKVPD,Other,682,186837,305735,0.3650,-82479
33,2020,17,RAJDEV DAS,BHRTSBLP,Other,672,186837,305735,0.3597,-82489
33,2020,18,CHANDRAKETU NARAYAN YADAV,JDR,Other,661,186837,305735,0.3538,-82500
33,2020,19,RAM KUMAR RAM,BMUP,Other,593,186837,305735,0.3174,-82568
33,2020,20,PURUSHOTTAM PRASAD GUPTA,IND,Other,383,186837,305735,0.2050,-82778
33,2020,21,RAMNARAYAN THAKUR,IND,Other,364,186837,305735,0.1948,-82797
33,2020,22,BRAJESH RAUT,IND,Other,273,186837,305735,0.1461,-82888
33,2020,23,PRAMILA DEVI,IND,Other,269,186837,305735,0.1440,-82892
