AC No,Year,Rank,Candidate,Party,Alliance,Votes,Valid Votes,Electors,Voteshare,Margin
182,2020,12,TEJASWANI JYOTI,BHRTLKCHTP,Other,463,140683,391775,0.3291,-82605
182,2020,13,SUSHIL KUMAR SINGH,NCP,Other,442,140683,391775,0.3142,-82626
182,2020,14,NITESH KUMAR,JDR,Other,354,140683,391775,0.2516,-82714
182,2020,15,JAYA LAXMI,IND,Other,325,140683,391775,0.2310,-82743
182,2020,16,SANJEEV KUMAR,BPL,Other,316,140683,391775,0.2246,-82752
182,2020,17,VIKASH KUMAR ROY,BMF,Other,243,140683,391775,0.1727,-82825
182,2020,18,MANISH BARRIARR,IND,Other,207,140683,391775,0.1471,-82861
182,2020,19,MUKND KUMAR,IND,Other,204,140683,391775,0.1450,-82864
182,2020,20,DUKHAN PASWAN,RJBP,Other,199,140683,391775,0.1415,-82869
182,2020,21,PIYUSH KANT SINGH,BNDl,Other,139,140683,391775,0.0988,-82929
182,2020,22,PRABHASH CHANDRA SHARMA,IND,Other,127,140683,391775,0.0903,-82941
182,2020,23,PAVAN KUMAR JHA,IND,Other,118,140683,391775,0.0839,-82950
183,2020,1,Arun Kumar Sinha,BJP,NDA,81400,150744,427427,53.9988,26463
183,2020,2,Dharamendra Kumar,RJD,MGB,54937,150744,427427,36.4439,-26463
183,2020,3,Rajesh Ranjan 'Pappu',JAPL,Other,4333,150744,427427,2.8744,-77067
183,2020,4,NOTA,NOTA,Other,1558,150744,427427,1.0335,-79842
183,2020,5,Binod Kumar Pathak,IND,Other,1260,150744,427427,0.8359,-80140
183,2020,6,Kumar Raunak,TPLRSP,Other,1248,150744,427427,0.8279,-80152
183,2020,7,Sharad,BHRTSBLP,Other,779,150744,427427,0.5168,-80621
183,2020,8,Prabhunath Kumar Azad,BSP,GDSF,690,150744,427427,0.4577,-80710
183,2020,9,Vikash Kumar,JSVP,Other,566,150744,427427,0.3755,-80834
183,2020,10,Brajeshwar Prasad Singh,SANKISVP,Other,525,150744,427427,0.3483,-80875
183,2020,11,Madhumesh Choudhary,IND,Other,489,150744,427427,0.3244,-80911
183,2020,12,Amit Kumar,IND,Other,334,150744,427427,0.2216,-81066
183,2020,13,Tapendra Narayan,JTLP,Other,327,150744,427427,0.2169,-81073
183,2020,14,Fazal Ahmad,JD(S),Other,314,150744,427427,0.2083,-81086
183,2020,15,Shatrudhan Prasad,IND,Other,289,150744,427427,0.1917,-81111
183,2020,16,Uttam Kumar,JDR,Other,254,150744,427427,0.1685,-81146
183,2020,17,Prem Shanker Prasad,PBI,Other,225,150744,427427,0.1493,-81175
183,2020,18,Suryakar Jitendra,SUCI,Other,194,150744,427427,0.1287,-81206
183,2020,19,Krishna Nandan Saw,SJPB,Other,193,150744,427427,0.1280,-81207
183,2020,20,Arun Kumar Mehta,APKSP,Other,184,150744,427427,0.1221,-81216
183,2020,21,Purushottam Kumar,BJKD,Other,162,150744,427427,0.1075,-81238
183,2020,22,Sumit Ranjan Sinha,NCP,Other,158,150744,427427,0.1048,-81242
183,2020,23,Anita Devi,ANC,Other,153,150744,427427,0.1015,-81247
183,2020,24,Ashok Kumar Keshri,RSWD,Other,99,150744,427427,0.0657,-81301
183,2020,25,Khurshid Alam,IND,Other,73,150744,427427,0.0484,-81327
184,2020,1,NAND KISHORE YADAV,BJP,NDA,97692,188189,360318,51.9116,18300
184,2020,2,PRAVIN SINGH,INC,MGB,79392,188189,360318,42.1874,-18300
184,2020,3,NOTA,NOTA,Other,3234,188189,360318,1.7185,-94458
184,2020,4,MITHILESH KUMAR ROY,IND,Other,1264,188189,360318,0.6717,-96428
184,2020,5,JAGDEEP PRASAD VERMA,RLSP,GDSF,1192,188189,360318,0.6334,-96500
184,2020,6,RAM NATH MAHTO,IND,Other,1148,188189,360318,0.6100,-96544
184,2020,7,DAYA SINGH,IND,Other,1031,188189,360318,0.5479,-96661
184,2020,8,MD. MAHAMUD KURAISHI,JAPL,Other,984,188189,360318,0.5229,-96708
184,2020,9,CHANDRA SHEKHAR DAS,BMUP,Other,804,188189,360318,0.4272,-96888
184,2020,10,Shiva Nandan Tiwari,PBLBRP,Other,464,188189,360318,0.2466,-97228
184,2020,11,AMIT KUMAR ALBELA,IND,Other,447,188189,360318,0.2375,-97245
184,2020,12,YOGESH KUMAR SHUKLA,BHRTSBLP,Other,284,188189,360318,0.1509,-97408
184,2020,13,VIKASH KUMAR CHOUDHARY,AAAAP,Other,253,188189,360318,0.1344,-97439
185,2020,1,Dr. Ramanand Yadav,RJD,MGB,85769,168600,271238,50.8713,19370
185,2020,2,SATYENDRA KUMAR SINGH,BJP,NDA,66399,168600,271238,39.3826,-19370
185,2020,3,Rakesh Sharma,IND,Other,2819,168600,271238,1.6720,-82950
185,2020,4,Shakti Paswan,IND,Other,2374,168600,271238,1.4081,-83395
185,2020,5,DHIRENDRA KUMAR,IND,Other,1572,168600,271238,0.9324,-84197
185,2020,6,SUDHIR KUMAR YADAV,IND,Other,1420,168600,271238,0.8422,-84349
185,2020,7,SUNIL KUMAR,BSP,GDSF,1417,168600,271238,0.8405,-84352
185,2020,8,SANJEET KUMAR,IND,Other,1310,168600,271238,0.7770,-84459
185,2020,9,Sachchidanand Singh,JANADIP,Other,1077,168600,271238,0.6388,-84692
185,2020,10,NOTA,NOTA,Other,762,168600,271238,0.4520,-85007
185,2020,11,Gajendra Kumar Father- Ganesh Ray,IND,Other,618,168600,271238,0.3665,-85151
185,2020,12,Ajeet Kumar Singh,TPLRSP,Other,610,168600,271238,0.3618,-85159
185,2020,13,Shyam Karan Mistry,SWAP,Other,547,168600,271238,0.3244,-85222
185,2020,14,Ajit Kumar,IND,Other,411,168600,271238,0.2438,-85358
185,2020,15,RAJKISHORE PRASAD,BMUP,Other,326,168600,271238,0.1934,-85443
185,2020,16,VINAY SINGH,SANKISVP,Other,275,168600,271238,0.1631,-85494
185,2020,17,DEENANATH PASWAN,PPID,Other,253,168600,271238,0.1501,-85516
185,2020,18,Vinay Kumar,BYPP,Other,232,168600,271238,0.1376,-85537
185,2020,19,Gajendra Kumar Father- Suryakant Prasad Sinha,SaBP,Other,212,168600,271238,0.1257,-85557
185,2020,20,DHARMENDRA SINGH,BMF,Other,197,168600,271238,0.1168,-85572
186,2020,1,Rit lal Ray,RJD,MGB,89895,185563,353534,48.4445,15924
186,2020,2,Asha Devi,BJP,NDA,73971,185563,353534,39.8630,-15924
186,2020,3,Deepak Kumar,RLSP,GDSF,7731,185563,353534,4.1662,-82164
186,2020,4,NOTA,NOTA,Other,2315,185563,353534,1.2476,-87580
186,2020,5,Ganesh Ray,IND,Other,2265,185563,353534,1.2206,-87630
186,2020,6,Amar Nath Ray,TPLRSP,Other,1449,185563,353534,0.7809,-88446
186,2020,7,Shyam Rajak,IND,Other,1422,185563,353534,0.7663,-88473
186,2020,8,SURAJ Prasad,IND,Other,866,185563,353534,0.4667,-89029
186,2020,9,Surendra Prasad,IND,Other,756,185563,353534,0.4074,-89139
186,2020,10,Manoj Kumar Sinha,NCP,Other,637,185563,353534,0.3433,-89258
186,2020,11,SURAJ DEV RAY,BLRP,Other,634,185563,353534,0.3417,-89261
186,2020,12,RAMESH KUMAR,IND,Other,501,185563,353534,0.2700,-89394
186,2020,13,AMRENDRA KUMAR ANAND,LSSP,Other,459,185563,353534,0.2474,-89436
186,2020,14,Ramji Ray,IND,Other,457,185563,353534,0.2463,-89438
186,2020,15,DR. SIDHESHWAR PRASAD,BRRTD,Other,440,185563,353534,0.2371,-89455
186,2020,16,Rakesh Kumar Ranjan,JKM,Other,429,185563,353534,0.2312,-89466
186,2020,17,RAGHUVIR MAHTO,RJBP,Other,383,185563,353534,0.2064,-89512
186,2020,18,Shambhu Sharma,LGJNPSCL,Other,375,185563,353534,0.2021,-89520
186,2020,19,Vijay Shanker Mishra,BJKD,Other,304,185563,353534,0.1638,-89591
186,2020,20,Sonu Kumar,IND,Other,274,185563,353534,0.1477,-89621
187,2020,1,BHAI VIRENDRA,RJD,MGB,94223,198628,325625,47.4369,32917
187,2020,2,NIKHIL ANAND,BJP,NDA,61306,198628,325625,30.8647,-32917
187,2020,3,SHRIKANT NIRALA,IND,Other,14615,198628,325625,7.3580,-79608
187,2020,4,VIKASH KUMAR,IND,Other,4024,198628,325625,2.0259,-90199
187,2020,5,KAMESHWAR KUMAR,IND,Other,3108,198628,325625,1.5647,-91115
187,2020,6,KUSH KUMAR,IND,Other,3034,198628,325625,1.5275,-91189
187,2020,7,JAVAHAR SINGH,IND,Other,2863,198628,325625,1.4414,-91360
187,2020,8,JANME JAY KUMAR,IND,Other,2786,198628,325625,1.4026,-91437
187,2020,9,BASANT RAW SATHE,IND,Other,2018,198628,325625,1.0160,-92205
187,2020,10,RANDHIR KUMAR SHARMA,IND,Other,1718,198628,325625,0.8649,-92505
187,2020,11,AJAY KUMAR SINGH,RPIRASH,Other,1350,198628,325625,0.6797,-92873
187,2020,12,NOTA,NOTA,Other,1106,198628,325625,0.5568,-93117
187,2020,13,KRISHNA BHAGWAN SINGH,SJDD,GDSF,890,198628,325625,0.4481,-93333
187,2020,14,DEVANAND YADAV,JP,Other,858,198628,325625,0.4320,-93365
187,2020,15,CHAUDHARY BRAHM PRAKASH SINGH,JAPL,Other,848,198628,325625,0.4269,-93375
187,2020,16,SATISH KUMAR,JMBP,Other,694,198628,325625,0.3494,-93529
187,2020,17,RAJ KISHOR SINGH,IND,Other,560,198628,325625,0.2819,-93663
187,2020,18,RAM SWARUP CHAUHAN,RJBP,Other,493,198628,325625,0.2482,-93730
187,2020,19,SHOBHA DEVI,BRMNP,Other,483,198628,325625,0.2432,-93740
187,2020,20,SANNU DEVI,IND,Other,479,198628,325625,0.2412,-93744
187,2020,21,SHIV KUMAR SINGH,BMF,Other,401,198628,325625,0.2019,-93822
187,2020,22,RABINDRA KUMAR,SHS,Other,391,198628,325625,0.1969,-93832
187,2020,23,RANJANA SINGH,PPID,Other,380,198628,325625,0.1913,-93843
188,2020,1,GOPAL RAVIDAS,CPI(ML)(L),MGB,91124,209121,364523,43.5748,13857
188,2020,2,ARUN MANJHI,JD(U),NDA,77267,209121,364523,36.9485,-13857
188,2020,3,KUMARI PRATIBHA,AIMIM,GDSF,5019,209121,364523,2.4000,-86105
188,2020,4,KAMLESH KANT CHAUDHARY,BHRTLKCHTP,Other,3885,209121,364523,1.8578,-87239
188,2020,5,GAJENDRA MANJHI,BHRTSBLP,Other,3480,209121,364523,1.6641,-87644
188,2020,6,NOTA,NOTA,Other,3245,209121,364523,1.5517,-87879
188,2020,7,SHILA DEVI,LSWP,Other,2283,209121,364523,1.0917,-88841
188,2020,8,LAXMI KUMARI,IND,Other,2163,209121,364523,1.0343,-88961
188,2020,9,AMARENDRA KUMAR,SANKISVP,Other,2112,209121,364523,1.0099,-89012
188,2020,10,SATYENDRA PASWAN,JAPL,Other,1767,209121,364523,0.8450,-89357
188,2020,11,SHRIRAJ PASWAN,PBLBRP,Other,1733,209121,364523,0.8287,-89391
188,2020,12,RAVI KUMAR,TPLRSP,Other,1679,209121,364523,0.8029,-89445
188,2020,13,SURENDRA PASWAN,NCP,Other,1585,209121,364523,0.7579,-89539
188,2020,14,PRATIMA KUMARI (Santosh Kumar),IND,Other,1144,209121,364523,0.5471,-89980
188,2020,15,DHURI DAS,PPID,Other,1104,209121,364523,0.5279,-90020
188,2020,16,KUMAR JAINENDRA PRASAD,BNDl,Other,1081,209121,364523,0.5169,-90043
188,2020,17,SHANKAR KUMAR,IND,Other,998,209121,364523,0.4772,-90126
188,2020,18,KAILASH PASWAN,RJPty,Other,968,209121,364523,0.4629,-90156
188,2020,19,RAMESHWAR PASWAN,RJBP,Other,950,209121,364523,0.4543,-90174
188,2020,20,BACHCHU PASWAN,BMUP,Other,949,209121,364523,0.4538,-90175
188,2020,21,MOTI RAM,ANC,Other,909,209121,364523,0.4347,-90215
188,2020,22,MANOHAR PRAKASH CHAUDHARY,IND,Other,866,209121,364523,0.4141,-90258
188,2020,23,PRATIMA KUMARI (Sanjay Paswan),IND,Other,730,209121,364523,0.3491,-90394
188,2020,24,RADHE RAMAN,BDlP,Other,661,209121,364523,0.3161,-90463
188,2020,25,SATYAM KUMAR RAJAK,BhAmAP,Other,532,209121,364523,0.2544,-90592
188,2020,26,AMAR PASWAN,IND,Other,506,209121,364523,0.2420,-90618
188,2020,27,ARJUN PASWAN,IND,Other,381,209121,364523,0.1822,-90743
189,2020,1,REKHA DEVI,RJD,MGB,98696,196570,337282,50.2091,32227
189,2020,2,NUTAN PASWAN,JD(U),NDA,66469,196570,337282,33.8144,-32227
189,2020,3,PARSHURAM KUMAR,LJP,Other,9682,196570,337282,4.9255,-89014
189,2020,4,RAJ KUMAR RAM,BSP,GDSF,5412,196570,337282,2.7532,-93284
189,2020,5,NOTA,NOTA,Other,3583,196570,337282,1.8228,-95113
189,2020,6,SARITA PASWAN,BHRTSBLP,Other,3016,196570,337282,1.5343,-95680
189,2020,7,SIKANDAR PASWAN,IND,Other,2185,196570,337282,1.1116,-96511
189,2020,8,RAMJI RAVIDAS,IND,Other,1857,196570,337282,0.9447,-96839
189,2020,9,JITENDRA KUMAR,NCP,Other,1347,196570,337282,0.6853,-97349
189,2020,10,ANIL DAS,BDlP,Other,1281,196570,337282,0.6517,-97415
189,2020,11,ANIL KUMAR,IND,Other,1100,196570,337282,0.5596,-97596
189,2020,12,VIMAL CHANDRA DAS,PPID,Other,806,196570,337282,0.4100,-97890
189,2020,13,NARESH MANJHI,BMUP,Other,576,196570,337282,0.2930,-98120
189,2020,14,RAMASHISH PASWAN,LSWP,Other,560,196570,337282,0.2849,-98136
190,2020,1,SANDEEP SAURAV,CPI(ML)(L),MGB,67917,155296,283864,43.7339,30915
190,2020,2,JAY VARDHAN YADAV @ BACHCHA YADAV,JD(U),NDA,37002,155296,283864,23.8268,-30915
190,2020,3,Dr. USHA VIDYARTHI,LJP,Other,16102,155296,283864,10.3686,-51815
190,2020,4,MADHU MANJARI,RLSP,GDSF,5467,155296,283864,3.5204,-62450
190,2020,5,SUNIL KUMAR,IND,Other,5261,155296,283864,3.3877,-62656
190,2020,6,GOPAL CHAUDHARI,IND,Other,4444,155296,283864,2.8616,-63473
190,2020,7,NOTA,NOTA,Other,1881,155296,283864,1.2112,-66036
190,2020,8,DINANATH PANDIT,LPSP,Other,1767,155296,283864,1.1378,-66150
190,2020,9,DHANANJAY KUMAR,IND,Other,1543,155296,283864,0.9936,-66374
190,2020,10,RAVISH KUMAR,BHRTSBLP,Other,1497,155296,283864,0.9640,-66420
190,2020,11,SANT KUMAR SINGH,SSD,Other,1443,155296,283864,0.9292,-66474
190,2020,12,JITENDRA BIND,IND,Other,1274,155296,283864,0.8204,-66643
190,2020,13,HARE KRISNA SINGH,RSWD,Other,1177,155296,283864,0.7579,-66740
190,2020,14,ANITA DEVI,IND,Other,1086,155296,283864,0.6993,-66831
190,2020,15,FUJALUR RAHAMAN ASARI,JAPL,Other,1084,155296,283864,0.6980,-66833
190,2020,16,RAKESH RANJAN,IND,Other,886,155296,283864,0.5705,-67031
190,2020,17,NITU DEVI,NFDEP,Other,794,155296,283864,0.5113,-67123
190,2020,18,BASANT KUMAR,IND,Other,747,155296,283864,0.4810,-67170
190,2020,19,SRINIVAS KUMAR,IND,Other,733,155296,283864,0.4720,-67184
190,2020,20,RAJGIR PRASAD,LSD,Other,663,155296,283864,0.4269,-67254
190,2020,21,SANJEET KUMAR,IND,Other,622,155296,283864,0.4005,-67295
190,2020,22,VENKATESH SHARMA,IND,Other,419,155296,283864,0.2698,-67498
190,2020,23,MANISH KUMAR,SHS,Other,407,155296,283864,0.2621,-67510
190,2020,24,RAVINDRA PRASAD,PPID,Other,371,155296,283864,0.2389,-67546
190,2020,25,MAHESH YADAV,IND,Other,364,155296,283864,0.2344,-67553
190,2020,26,Manoj Kumar Upadhyay,BhAmAP,Other,345,155296,283864,0.2222,-67572
191,2020,1,SIDDHARTH SAURAV,INC,MGB,86177,180640,308429,47.7065,35460
191,2020,2,ANIL KUMAR,IND,Other,50717,180640,308429,28.0763,-35460
191,2020,3,ATUL KUMAR,BJP,NDA,14439,180640,308429,7.9932,-71738
191,2020,4,NAGENDRA KUMAR,IND,Other,11223,180640,308429,6.2129,-74954
191,2020,5,ARUN KUMAR,BSP,GDSF,3363,180640,308429,1.8617,-82814
191,2020,6,Dr. MAMTAMAYI PRIYADARSHINI,IND,Other,3068,180640,308429,1.6984,-83109
191,2020,7,SURENDRA YADAV,IND,Other,2152,180640,308429,1.1913,-84025
191,2020,8,CHANDRASHEKHAR YADAV,JANADIP,Other,2027,180640,308429,1.1221,-84150
191,2020,9,NOTA,NOTA,Other,1814,180640,308429,1.0042,-84363
191,2020,10,SUNIL KUMAR,JP,Other,1186,180640,308429,0.6566,-84991
191,2020,11,MANOJ KUMAR,IND,Other,1170,180640,308429,0.6477,-85007
191,2020,12,PUNAM DEVI,SatBP,Other,802,180640,308429,0.4440,-85375
191,2020,13,VIKASH KUMAR,RJnJnP,Other,711,180640,308429,0.3936,-85466
191,2020,14,ARVIND KUMAR,IND,Other,632,180640,308429,0.3499,-85545
191,2020,15,VISHWNATH PRASAD,JDR,Other,593,180640,308429,0.3283,-85584
191,2020,16,DILIP KUMAR,IND,Other,566,180640,308429,0.3133,-85611
192,2020,1,KIRAN DEVI,RJD,MGB,79599,154455,291632,51.5354,50607
192,2020,2,VIJAYENDRA YADAV,JD(U),NDA,28992,154455,291632,18.7705,-50607
192,2020,3,SHWETA SINGH,LJP,Other,28500,154455,291632,18.4520,-51099
192,2020,4,NOTA,NOTA,Other,3449,154455,291632,2.2330,-76150
192,2020,5,SHIV SHANKAR PRASAD,RLSP,GDSF,3351,154455,291632,2.1696,-76248
192,2020,6,BABAN KUMAR,JAPL,Other,2603,154455,291632,1.6853,-76996
192,2020,7,KRISHNA PASWAN,BKVP,Other,1720,154455,291632,1.1136,-77879
192,2020,8,SANTOSH KUMAR SINGH,RJnJnP,Other,1660,154455,291632,1.0747,-77939
192,2020,9,MANMOHAN SINGH,RSTJLKPS,Other,1516,154455,291632,0.9815,-78083
192,2020,10,AKHILESHWAR NATH TIWARI,JASP,Other,1230,154455,291632,0.7963,-78369
192,2020,11,RAMDEO SINGH,IND,Other,1054,154455,291632,0.6824,-78545
192,2020,12,KAMAL KUMAR SINGH,VPI,Other,781,154455,291632,0.5056,-78818
193,2020,1,RAGHVENDRA PRATAP SINGH,BJP,NDA,76182,165087,313857,46.1466,4973
193,2020,2,SAROJ YADAV,RJD,MGB,71209,165087,313857,43.1342,-4973
193,2020,3,ASHA DEVI,IND,Other,7203,165087,313857,4.3632,-68979
193,2020,4,NOTA,NOTA,Other,2784,165087,313857,1.6864,-73398
193,2020,5,MANJEE KUMAR SHAH,IND,Other,2635,165087,313857,1.5961,-73547
193,2020,6,RAGHUPATI YADAV,JAPL,Other,1353,165087,313857,0.8196,-74829
193,2020,7,SIYAMATI RAI,RLSP,GDSF,1248,165087,313857,0.7560,-74934
193,2020,8,GUPTESHWAR DUBEY,IND,Other,739,165087,313857,0.4476,-75443
193,2020,9,NIMESH SHUKLA,JmtP,Other,638,165087,313857,0.3865,-75544
193,2020,10,MOHD KALAM KHAN,IND,Other,560,165087,313857,0.3392,-75622
193,2020,11,RAMTAHAL CHOUDHARY,LGJNPSCL,Other,536,165087,313857,0.3247,-75646
194,2020,1,Amrendra Pratap singh,BJP,NDA,71781,159332,329572,45.0512,3002
194,2020,2,Quyamuddin Ansari,CPI(ML)(L),MGB,68779,159332,329572,43.1671,-3002
194,2020,3,Hakim Prasad,IND,Other,4360,159332,329572,2.7364,-67421
194,2020,4,Sheodas Singh,IND,Other,2991,159332,329572,1.8772,-68790
194,2020,5,NOTA,NOTA,Other,2811,159332,329572,1.7642,-68970
194,2020,6,Brajesh Kumar Singh,JAPL,Other,1221,159332,329572,0.7663,-70560
194,2020,7,Praveen Kumar Singh,RLSP,GDSF,1160,159332,329572,0.7280,-70621
194,2020,8,Gorakh Ram,VPI,Other,1125,159332,329572,0.7061,-70656
194,2020,9,Dilip Kumar Singh,RSTJLKPS,Other,1003,159332,329572,0.6295,-70778
194,2020,10,Anil Kumar Singh,JP,Other,716,159332,329572,0.4494,-71065
194,2020,11,Shabana,IND,Other,698,159332,329572,0.4381,-71083
194,2020,12,Kajal Kumari,AKHDBRYVP,Other,631,159332,329572,0.3960,-71150
194,2020,13,Chandra Bhanu Gupta,IND,Other,631,159332,329572,0.3960,-71150
194,2020,14,Sanjay Shekhar Shukla,IND,Other,609,159332,329572,0.3822,-71172
194,2020,15,Shobhnath Yadav,IND,Other,457,159332,329572,0.2868,-71324
194,2020,16,Kumar Ashutosh,IND,Other,359,159332,329572,0.2253,-71422
195,2020,1,MANOJ MANZIL,CPI(ML)(L),MGB,86327,140616,268019,61.3920,48550
195,2020,2,PRABHUNATH PRASAD,JD(U),NDA,37777,140616,268019,26.8654,-48550
195,2020,3,RAJESHWAR PASWAN,LJP,Other,4972,140616,268019,3.5359,-81355
195,2020,4,NOTA,NOTA,Other,3787,140616,268019,2.6932,-82540
195,2020,5,MANURAM RATHAUR,RLSP,GDSF,1765,140616,268019,1.2552,-84562
195,2020,6,INDU DEVI,BPL,Other,1601,140616,268019,1.1386,-84726
195,2020,7,SURAJ BHAN,SSD,Other,1403,140616,268019,0.9978,-84924
195,2020,8,RAJMUNI DEVI,IND,Other,882,140616,268019,0.6272,-85445
195,2020,9,UPENDRA KUMAR,IND,Other,764,140616,268019,0.5433,-85563
195,2020,10,AMAR JYOTI,IND,Other,750,140616,268019,0.5334,-85577
195,2020,11,ASHOK RAM,JMBP,Other,588,140616,268019,0.4182,-85739
196,2020,1,Sudama Prasad S/o Ganga Dayal Sah,CPI(ML)(L),MGB,73945,169857,305326,43.5337,11015
196,2020,2,Narendra Kumar Pandey @ Sunil Pandey,IND,Other,62930,169857,305326,37.0488,-11015
196,2020,3,Kaushal Kumar Vidyarthi,BJP,NDA,13833,169857,305326,8.1439,-60112
196,2020,4,Anil Kumar,JTVP,Other,6177,169857,305326,3.6366,-67768
196,2020,5,NOTA,NOTA,Other,2550,169857,305326,1.5013,-71395
196,2020,6,Santosh Singh Chandrawanshi,RLSP,GDSF,2278,169857,305326,1.3411,-71667
196,2020,7,Kumari Sanchana,IND,Other,2196,169857,305326,1.2929,-71749
196,2020,8,Sudama Prasad S/o Ramji Seth,IND,Other,1591,169857,305326,0.9367,-72354
196,2020,9,Dinesh Mouar,VPI,Other,1284,169857,305326,0.7559,-72661
196,2020,10,Suryajeet Kumar Singh,NCP,Other,1171,169857,305326,0.6894,-72774
196,2020,11,Sanjay Rai,JAPL,Other,1136,169857,305326,0.6688,-72809
196,2020,12,Prakash Kumar,SSD,Other,766,169857,305326,0.4510,-73179
197,2020,1,RAM VISHUN SINGH,RJD,MGB,66632,167935,308746,39.6773,22107
197,2020,2,SRIBHAGWAN SINGH KUSHWAHA,LJP,Other,44525,167935,308746,26.5132,-22107
197,2020,3,SHUSHUMLATA,JD(U),NDA,29362,167935,308746,17.4841,-37270
197,2020,4,ANIL KUMAR SINGH,IND,Other,7249,167935,308746,4.3166,-59383
197,2020,5,Dr. SHYAM NANDAN,BSP,GDSF,3317,167935,308746,1.9752,-63315
197,2020,6,DINESH KUMAR SINGH,JAPL,Other,3131,167935,308746,1.8644,-63501
197,2020,7,BINOD KUMAR,IND,Other,2529,167935,308746,1.5059,-64103
197,2020,8,HARIBANSH PANDIT,IND,Other,2277,167935,308746,1.3559,-64355
197,2020,9,SACHCHIDANAND SINGH,JP,Other,1960,167935,308746,1.1671,-64672
197,2020,10,NARENDRA PRATAP SINGH,IND,Other,1414,167935,308746,0.8420,-65218
197,2020,11,AMARJEET KUMAR,JPJD,Other,910,167935,308746,0.5419,-65722
197,2020,12,NOTA,NOTA,Other,817,167935,308746,0.4865,-65815
197,2020,13,RANA PRATAP SINGH,BHRTSBLP,Other,761,167935,308746,0.4532,-65871
197,2020,14,HIRA LAL SINGH,IND,Other,752,167935,308746,0.4478,-65880
197,2020,15,MOHAMMAD SAGIR AHMAD,JTLP,Other,702,167935,308746,0.4180,-65930
197,2020,16,NARAYAN SINGH,VPI,Other,548,167935,308746,0.3263,-66084
197,2020,17,RAJESHWAR SINGH,PSS,Other,473,167935,308746,0.2817,-66159
197,2020,18,GOPAL JEE SINGH,JD(S),Other,298,167935,308746,0.1774,-66334
197,2020,19,JITENDRA KUMAR,SatBP,Other,278,167935,308746,0.1655,-66354
198,2020,1,RAHUL TIWARY,RJD,MGB,64393,156528,318874,41.1383,22883
198,2020,2,SHOBHA DEVI,IND,Other,41510,156528,318874,26.5192,-22883
198,2020,3,MUNNI DEVI,BJP,NDA,21355,156528,318874,13.6429,-43038
198,2020,4,GANGADHAR PANDEY,IND,Other,3836,156528,318874,2.4507,-60557
198,2020,5,HARENDRA SINGH,RJnJnP,Other,3571,156528,318874,2.2814,-60822
198,2020,6,BHUTESHWAR YADAV,IND,Other,2876,156528,318874,1.8374,-61517
198,2020,7,VED PRKASH,RLSP,GDSF,2689,156528,318874,1.7179,-61704
198,2020,8,SANTOSH KUMAR SRIVASTAV,JP,Other,2522,156528,318874,1.6112,-61871
198,2020,9,KUMAR AVINASH CHANDRA,IND,Other,2060,156528,318874,1.3161,-62333
198,2020,10,KRISHNA RAM,IND,Other,2004,156528,318874,1.2803,-62389
198,2020,11,GUDIYA DEVI,NCP,Other,1338,156528,318874,0.8548,-63055
198,2020,12,RAKESH KUMAR MISHRA,JAPL,Other,1326,156528,318874,0.8471,-63067
198,2020,13,KHYALEE KUWOR,IND,Other,1198,156528,318874,0.7654,-63195
198,2020,14,NOTA,NOTA,Other,978,156528,318874,0.6248,-63415
198,2020,15,KALIKA PRASAD SINGH,IND,Other,734,156528,318874,0.4689,-63659
198,2020,16,LAKSHMAN KUMAR OJHA,BRRTD,Other,634,156528,318874,0.4050,-63759
198,2020,17,SANJEEV KUMAR PANDEY,IND,Other,596,156528,318874,0.3808,-63797
198,2020,18,MUNNA SHARMA,MADP,Other,507,156528,318874,0.3239,-63886
198,2020,19,GOUTTAM OJHA,IND,Other,473,156528,318874,0.3022,-63920
198,2020,20,NANHAK SINGH,BMUP,Other,456,156528,318874,0.2913,-63937
198,2020,21,MANOJ YADAV,IND,Other,440,156528,318874,0.2811,-63953
198,2020,22,MANNAN SAHA,IND,Other,387,156528,318874,0.2472,-64006
198,2020,23,YASH TRIPATHI,RSWD,Other,328,156528,318874,0.2095,-64065
198,2020,24,SHAMBHU PRASAD SHARMA,HVD,Other,317,156528,318874,0.2025,-64076
199,2020,1,SHAMBHU NATH YADAV,RJD,MGB,90176,185396,340864,48.6397,51141
199,2020,2,HULAS PANDEY,LJP,Other,39035,185396,340864,21.0549,-51141
199,2020,3,JAIRAJ CHAUDHARY,VSIP,NDA,30482,185396,340864,16.4416,-59694
199,2020,4,JATA DHARI @ JATA DHARI PASWAN,BSP,GDSF,5484,185396,340864,2.9580,-84692
199,2020,5,BHARAT SHARMA @ BHARAT SHARMA VYAS,IND,Other,3379,185396,340864,1.8226,-86797
199,2020,6,PARMA NAND YADAV,JAPL,Other,3182,185396,340864,1.7163,-86994
199,2020,7,MANISH BHUSHAN OJHA,IND,Other,2863,185396,340864,1.5443,-87313
199,2020,8,NILESH KUMAR RAHUL,IND,Other,2497,185396,340864,1.3468,-87679
199,2020,9,NOTA,NOTA,Other,2293,185396,340864,1.2368,-87883
199,2020,10,ANIL RAI @ BHAIYA JEE,RDU,Other,1859,185396,340864,1.0027,-88317
199,2020,11,RAMESH KUMAR,VCSMP,Other,1197,185396,340864,0.6456,-88979
199,2020,12,NIRANJAN KUMAR SINGH,IND,Other,925,185396,340864,0.4989,-89251
